20240223,paypayカード,伝丸,1150
20240207,paypayカード,ツルハ,1355
20240207,paypayカード,西松屋,1978
20240207,paypayカード,マルエツ,1931
20240207,paypayカード,エルミ,2156
20240207,paypayカード,ツルハ,2446
20240207,paypayカード,ツルハ,1903
20240207,paypayカード,マルエツ,1075
20240207,paypayカード,遊びの森,6400
20240207,paypayカード,ケーキ屋,2140
20240207,paypayカード,西松屋,5255
20240207,paypayカード,ツルハ,1031
20240207,paypayカード,ツルハ,1608
20240209,paypayカード,三和,2648

20240209,三井住友カード,イオン,76060
20240209,三井住友カード,イオン,5522
20240209,三井住友カード,イオン,2933
20240209,三井住友カード,三和,781


20240201,川崎信用金庫,保育料,27250
20240201,川崎信用金庫,はじめの一歩,3500
20240201,川崎信用金庫,はじめの一歩,9600
20240201,静岡銀行,ローン,142162
